year,month,average
1990,1,353.8
1990,2,355.04
1990,3,355.73
1990,4,356.32
1990,5,357.32
1990,6,356.34
1990,7,354.84
1990,8,353.01
1990,9,351.31
1990,10,351.62
1990,11,353.07
1990,12,354.33
1991,1,354.84
1991,2,355.73
1991,3,357.23
1991,4,358.66
1991,5,359.13
1991,6,358.13
1991,7,356.19
1991,8,353.85
1991,9,352.25
1991,10,352.35
1991,11,353.81
1991,12,355.12
1992,1,356.25
1992,2,357.11
1992,3,357.86
1992,4,359.09
1992,5,359.59
1992,6,359.33
1992,7,357.01
1992,8,354.94
1992,9,352.95
1992,10,353.32
1992,11,354.32
1992,12,355.57
1993,1,357
1993,2,357.31
1993,3,358.47
1993,4,359.27
1993,5,360.19
1993,6,359.52
1993,7,357.33
1993,8,355.64
1993,9,354.03
1993,10,354.12
1993,11,355.41
1993,12,356.91
1994,1,358.24
1994,2,358.92
1994,3,359.99
1994,4,361.23
1994,5,361.65
1994,6,360.81
1994,7,359.38
1994,8,357.46
1994,9,355.73
1994,10,356.08
1994,11,357.53
1994,12,358.98
1995,1,359.92
1995,2,360.86
1995,3,361.83
1995,4,363.3
1995,5,363.69
1995,6,363.19
1995,7,361.64
1995,8,359.12
1995,9,358.17
1995,10,357.99
1995,11,359.45
1995,12,360.68
1996,1,362.07
1996,2,363.24
1996,3,364.17
1996,4,364.57
1996,5,365.13
1996,6,364.92
1996,7,363.55
1996,8,361.38
1996,9,359.54
1996,10,359.58
1996,11,360.89
1996,12,362.24
1997,1,363.09
1997,2,364.03
1997,3,364.51
1997,4,366.35
1997,5,366.64
1997,6,365.59
1997,7,364.31
1997,8,362.25
1997,9,360.29
1997,10,360.82
1997,11,362.49
1997,12,364.38
1998,1,365.27
1998,2,365.98
1998,3,367.24
1998,4,368.66
1998,5,369.42
1998,6,368.99
1998,7,367.82
1998,8,365.95
1998,9,364.02
1998,10,364.4
1998,11,365.52
1998,12,367.13
1999,1,368.18
1999,2,369.07
1999,3,369.68
1999,4,370.99
1999,5,370.96
1999,6,370.3
1999,7,369.45
1999,8,366.9
1999,9,364.81
1999,10,365.37
1999,11,366.72
1999,12,368.1
2000,1,369.29
2000,2,369.55
2000,3,370.6
2000,4,371.82
2000,5,371.58
2000,6,371.7
2000,7,369.86
2000,8,368.13
2000,9,367
2000,10,367.03
2000,11,368.37
2000,12,369.67
2001,1,370.59
2001,2,371.51
2001,3,372.43
2001,4,373.37
2001,5,373.85
2001,6,373.22
2001,7,371.5
2001,8,369.61
2001,9,368.18
2001,10,368.45
2001,11,369.76
2001,12,371.24
2002,1,372.53
2002,2,373.2
2002,3,374.12
2002,4,375.02
2002,5,375.76
2002,6,375.52
2002,7,374.01
2002,8,371.85
2002,9,370.75
2002,10,370.55
2002,11,372.25
2002,12,373.79
2003,1,374.88
2003,2,375.64
2003,3,376.45
2003,4,377.73
2003,5,378.6
2003,6,378.28
2003,7,376.7
2003,8,374.38
2003,9,373.17
2003,10,373.15
2003,11,374.66
2003,12,375.99
2004,1,377
2004,2,377.87
2004,3,378.88
2004,4,380.35
2004,5,380.62
2004,6,379.69
2004,7,377.47
2004,8,376.01
2004,9,374.25
2004,10,374.46
2004,11,376.16
2004,12,377.51
2005,1,378.46
2005,2,379.73
2005,3,380.77
2005,4,382.29
2005,5,382.45
2005,6,382.21
2005,7,380.74
2005,8,378.74
2005,9,376.7
2005,10,377
2005,11,378.35
2005,12,380.11
2006,1,381.38
2006,2,382.2
2006,3,382.67
2006,4,384.61
2006,5,385.03
2006,6,384.05
2006,7,382.46
2006,8,380.41
2006,9,378.85
2006,10,379.13
2006,11,380.15
2006,12,381.82
2007,1,382.89
2007,2,383.9
2007,3,384.58
2007,4,386.5
2007,5,386.56
2007,6,386.1
2007,7,384.5
2007,8,381.99
2007,9,380.96
2007,10,381.12
2007,11,382.45
2007,12,383.94
2008,1,385.52
2008,2,385.82
2008,3,386.03
2008,4,387.21
2008,5,388.54
2008,6,387.76
2008,7,386.37
2008,8,384.09
2008,9,383.18
2008,10,382.99
2008,11,384.19
2008,12,385.56
2009,1,386.94
2009,2,387.48
2009,3,388.82
2009,4,389.55
2009,5,390.14
2009,6,389.48
2009,7,388.03
2009,8,386.11
2009,9,384.74
2009,10,384.43
